agent_id,name,branch,join_date,commission_rate
1,Rahul Patel,Kolkata,2021-11-17,0.14
2,Aarav Iyer,Kolkata,2019-10-20,0.15
3,Neha Khan,Jaipur,2021-04-14,0.15
4,Rahul Singh,Bangalore,2023-02-05,0.1
5,Rohit Das,Mumbai,2022-03-10,0.13
6,Aman Verma,Mumbai,2019-04-05,0.12
7,Aman Mehta,Chennai,2016-06-12,0.15
8,Priya Iyer,Kolkata,2021-08-11,0.11
9,Aman Iyer,Pune,2021-03-08,0.09
10,Aarav Verma,Jaipur,2019-12-09,0.14
11,Rohit Verma,Delhi,2018-12-19,0.06
12,Aditi Khan,Hyderabad,2020-07-09,0.19
13,Aarav Khan,Pune,2020-02-20,0.09
14,Aditi Singh,Pune,2020-12-16,0.09
15,Vihaan Verma,Kolkata,2015-11-09,0.1
16,Aditi Sharma,Bangalore,2017-07-07,0.07
17,Aarav Mehta,Hyderabad,2020-12-03,0.19
18,Sonal Gupta,Kolkata,2018-05-04,0.09
19,Sonal Verma,Bangalore,2018-02-17,0.12
20,Aarav Reddy,Pune,2021-03-14,0.07
21,Neha Reddy,Jaipur,2017-10-16,0.07
22,Rahul Reddy,Pune,2016-09-03,0.19
23,Priya Mehta,Chennai,2016-02-24,0.17
24,Rohit Verma,Delhi,2016-12-04,0.07
25,Vihaan Reddy,Pune,2022-11-13,0.15
26,Rohit Mehta,Mumbai,2023-03-10,0.07
27,Sonal Singh,Delhi,2018-01-03,0.15
28,Rahul Gupta,Jaipur,2022-01-14,0.17
29,Sonal Das,Mumbai,2017-10-22,0.08
30,Aditi Reddy,Hyderabad,2020-08-23,0.2
31,Priya Patel,Bangalore,2018-10-16,0.17
32,Neha Singh,Jaipur,2022-05-02,0.09
33,Rahul Verma,Hyderabad,2021-10-02,0.12
34,Neha Sharma,Jaipur,2015-11-10,0.14
35,Rahul Khan,Jaipur,2016-02-11,0.17
36,Aarav Mehta,Kolkata,2019-06-29,0.08
37,Rohit Sharma,Bangalore,2015-03-31,0.09
38,Priya Patel,Pune,2022-04-29,0.16
39,Rohit Das,Hyderabad,2019-01-13,0.14
40,Sonal Khan,Jaipur,2017-04-21,0.13
41,Rahul Iyer,Hyderabad,2021-06-29,0.18
42,Neha Patel,Pune,2022-05-16,0.14
43,Neha Khan,Delhi,2017-10-24,0.13
44,Rohit Khan,Bangalore,2023-02-13,0.18
45,Kiran Das,Chennai,2017-10-14,0.07
46,Rohit Gupta,Delhi,2022-09-29,0.1
47,Vihaan Patel,Bangalore,2015-05-30,0.19
48,Sonal Mehta,Delhi,2016-12-14,0.16
49,Sonal Gupta,Pune,2016-01-26,0.1
50,Priya Reddy,Kolkata,2016-06-30,0.1
51,Kiran Singh,Delhi,2019-05-29,0.05
52,Priya Singh,Delhi,2020-05-16,0.11
53,Vihaan Mehta,Delhi,2016-02-01,0.18
54,Neha Das,Mumbai,2019-01-09,0.17
55,Kiran Reddy,Pune,2016-08-28,0.13
56,Rohit Iyer,Delhi,2017-04-28,0.15
57,Kiran Reddy,Bangalore,2017-01-27,0.15
58,Aman Khan,Mumbai,2015-02-11,0.16
59,Rahul Iyer,Pune,2015-07-08,0.18
60,Vihaan Singh,Pune,2021-10-25,0.19
61,Aditi Mehta,Hyderabad,2015-10-30,0.13
62,Aman Sharma,Hyderabad,2022-03-22,0.15
63,Neha Khan,Mumbai,2020-01-28,0.18
64,Sonal Das,Hyderabad,2019-01-09,0.06
65,Aditi Iyer,Bangalore,2018-08-22,0.11
66,Rahul Das,Pune,2017-08-28,0.13
67,Aarav Khan,Hyderabad,2017-04-21,0.1
68,Vihaan Patel,Kolkata,2015-03-29,0.17
69,Sonal Khan,Bangalore,2020-09-06,0.17
70,Aarav Iyer,Bangalore,2015-01-15,0.16
71,Vihaan Sharma,Mumbai,2015-09-18,0.12
72,Aman Reddy,Chennai,2021-01-16,0.06
73,Kiran Das,Delhi,2015-01-25,0.15
74,Vihaan Iyer,Mumbai,2018-06-06,0.17
75,Priya Singh,Chennai,2020-03-20,0.06
76,Kiran Verma,Kolkata,2018-02-14,0.16
77,Neha Iyer,Chennai,2018-10-11,0.15
78,Aarav Singh,Pune,2017-11-23,0.19
79,Priya Patel,Kolkata,2020-11-26,0.09
80,Sonal Khan,Hyderabad,2020-10-24,0.16
81,Sonal Mehta,Jaipur,2017-03-16,0.1
82,Rahul Mehta,Bangalore,2018-11-19,0.18
83,Sonal Singh,Pune,2022-06-06,0.13
84,Rahul Singh,Hyderabad,2018-12-29,0.18
85,Rohit Sharma,Bangalore,2019-05-22,0.14
86,Neha Verma,Jaipur,2015-07-21,0.05
87,Rohit Patel,Delhi,2017-05-05,0.17
